Codigo,Nome,CodCurto,PVPBase,PesoBrt,Marca,Familia,NomeXtra
350013046154,Frigorifico Beko DS 141120,46154,"431,00",73,BEKO,130,2 Portas | 410 L / 400 L (298/102) | Classe A+ | 1725 x 700 x 620 mm (A x L x P)
350019048024,Forno Encast. Beko OIM 25700 X,48024,"559,00","37,799999",BEKO,115,Forno Multifunções (12) | Parede traseira catalítica | Programador digital Touch Control | Prateleira telescópica | 65 lt | 43 dbA | Vitreous Line
350013046825,Frigorifico Integ. Beko RBI 6301,46825,"343,00",45,BEKO,115,2 Portas | 250 L / 215 L (170/45) | Larder | Classe A+ | 1440 x 545 x 580 mm (A x L x P)
GDS2610,Mp3 Grundig Mpaxx 920 FM/2Gb (white),GDS2610,"27,00","0,181",GRUNDIG,925,
GKR1600,Rádio Relógio Grundig SonoClock 660,GKR1600,"41,00","0,9",GRUNDIG,230,
GML7900,Aparador Cabelo Grundig MC 7740,GML7900,"37,00","0,888999998569489",GRUNDIG,190,
GML7700,Secador Cabelo Grundig HD 3700,GML7700,"16,50","0,638",GRUNDIG,190,
GML8200,Alisador Cabelo Grundig HS 8730,GML8200,"41,50","0,708",GRUNDIG,190,
GMK5400,Modelador Cabelo Grundig HS 6580,GMK5400,"29,90","0,797",GRUNDIG,190,
GMM0600,Massajador Pés Grundig FM 8720,GMM0600,"65,00","5,50500011444092",GRUNDIG,190,
GMM0800,Balança Grundig PS 8710,GMM0800,"77,00",3,GRUNDIG,190,
GML9900,Filtros para Aspirador Grundig VCF 76,GML9900,"15,00","0,144999995827675",GRUNDIG,190,
GDS2200,Mp4 Grundig Mpixx 8800,GDS2200,"199,00","0,400000005960464",GRUNDIG,930,"Reprodutor Mp3 e MP4. Capacidade memoria interna 8GB. Compatível com ficheiros Mp3, WMA, BMP, JPEG, SMV (AVI, MPG4, DVD).  Display com 16 milhoes cores com ecrã tactil de 2,4"". Microfone. Ligação USB 2.0 (mini). Cinta  para pendurar. Auriculares incluído. Slot Expansão leitor cartões SD/MMC até 8GB"
GKR2800,Rádio Relógio Grundig SonoClock 590,GKR2800,"33,00","0,8",GRUNDIG,230,"Rádio Relógio Despertador. 2 Alarmes, por rádio ou sinal sonoro. Rádio FM/AM. Control automático de frequência (AFC). Alimentação 230V e bateria de segurança. Display cor âmbar. Medidas: 11 x 11 x 11 cm.  Cor: Prata/Titane"
GKR2600,Rádio Relógio Grundig SonoClock 490,GKR2600,"35,00","0,8",GRUNDIG,230,"Rádio Relógio Despertador. 2 Alarmes, por rádio ou sinal sonoro. Rádio FM/AM. Control automático de frequência (AFC). Alimentação 230V e bateria de segurança. Display cor âmbar. Medidas: 20 x 12 x 5.5 cm.  Cor: Prata/Titane"
GDS0600,Mp4 Grundig Mpixx 2002 FM/2GB arta sil. gl./cool tit,GDS0600,"0,00","0,46900001168251",GRUNDIG,930,
GML2600,Aparador Multi-funções Grundig MT 1610,GML2600,"12,00","0,699999988079071",GRUNDIG,190,
GMM4200,Manicure/Pedicure Grundig MA 5820,GMM4200,"29,90","0,55",GRUNDIG,190,
GMM8600,Escova Dentes SONIC Grundig TB 7930,GMM8600,"34,70","0,78",GRUNDIG,190,
GMM9900,Depiladora Grundig LE 7940,GMM9900,"47,90","0,81",GRUNDIG,190,
GLR4900,Hi-Fi Lifestyle Grundig Ovation 3 CDS 8120 ENC,GLR4900,"380,00","5,09999990463257",GRUNDIG,215,
GRN0290,Rádio Portátil Grundig City Boy 31/ PR 3201 chrome,GRN0290,"13,00","0,22",GRUNDIG,235,"Rádio Portátil. Sintonizador analógico. FM/AM. Altifalante integrado.  Ligação auriculares. AFC. Antena telescópica. Auriculares estéreo incluídos. Baterias 2 x AA. Peso 170 g. Medidas: aprox. 7,2 x 12,3 x 3,4 cm. Cor: Cromado."
