Codigo,Nome,CodCurto,PVPBase,PesoBrt,Marca,Familia,NomeXtra,GAMA,Familia,subfamilia,stock
GDP6300,Rádio CD/MP3 Grundig RCD 1445 USB,GDP6300,"72,00","2,4",GRUNDIG,235,"Rádio CD Mp3. Sintonizador PLL FM/AM . Potencia: 12W PMPO. 10+10 memorias. Ligações: USB 2.0, auriculares. Display LCD. Alimentação 230V ou por Pilhas. Dimensões: 24,5x14x24,5 cm. Cor: Cinza/Preto",IMAGEM E SOM,AUDIO PORTATIL,RADIOS C/CD,sim
GDP6350,Rádio CD/MP3 Grundig RCD 1445 USB Aqua/Silver,GDP6350,"72,00","2,4",GRUNDIG,235,"Rádio CD Mp3. Sintonizador PLL FM/AM . Potencia: 12W PMPO. 10+10 memorias. Ligações: USB 2.0, auriculares. Display LCD. Alimentação 230V ou por Pilhas. Dimensões: 24,5x14x24,5 cm.",IMAGEM E SOM,AUDIO PORTATIL,RADIOS C/CD,sim
GDP6320,Rádio CD/MP3 Grundig RCD 1445 USB Blue/Silver,GDP6320,"72,00","2,4",GRUNDIG,235,"Rádio CD Mp3. Sintonizador PLL FM/AM . Potencia: 12W PMPO. 10+10 memorias. Ligações: USB 2.0, auriculares. Display LCD. Alimentação 230V ou por Pilhas. Dimensões: 24,5x14x24,5 cm.",IMAGEM E SOM,AUDIO PORTATIL,RADIOS C/CD,sim
GDP6310,Rádio CD/MP3 Grundig RCD 1445 USB Pink/Silver,GDP6310,"72,00","2,4",GRUNDIG,235,"Rádio CD Mp3. Sintonizador PLL FM/AM . Potencia: 12W PMPO. 10+10 memorias. Ligações: USB 2.0, auriculares. Display LCD. Alimentação 230V ou por Pilhas. Dimensões: 24,5x14x24,5 cm.",IMAGEM E SOM,AUDIO PORTATIL,RADIOS C/CD,sim
GDP6330,Rádio CD/MP3 Grundig RCD 1445 USB Silver,GDP6330,"72,00","2,4",GRUNDIG,235,"Rádio CD Mp3. Sintonizador PLL FM/AM . Potencia: 12W PMPO. 10+10 memorias. Ligações: USB 2.0, auriculares. Display LCD. Alimentação 230V ou por Pilhas. Dimensões: 24,5x14x24,5 cm. Cor: Cinza/Preto",IMAGEM E SOM,AUDIO PORTATIL,RADIOS C/CD,sim
GRN0290,Rádio Portátil Grundig City Boy 31/ PR 3201 chrome,GRN0290,"13,00","0,22",GRUNDIG,235,"Rádio Portátil. Sintonizador analógico. FM/AM. Altifalante integrado.  Ligação auriculares. AFC. Antena telescópica. Auriculares estéreo incluídos. Baterias 2 x AA. Peso 170 g. Medidas: aprox. 7,2 x 12,3 x 3,4 cm. Cor: Cromado.",IMAGEM E SOM,AUDIO PORTATIL,RADIOS PORTATEIS,não
GRR1991,Rádio Portátil Grundig Micro 61 / silver/grey,GRR1991,"18,00","0,14",GRUNDIG,235,"Rádio Portátil. Sintonizador analógico. FM/AM.  Ligação auriculares. Antena. Ultra Bass system.  Baterias 1 x AAA. Auriculares estéreo incluídos. Acessório para cinto. Medidas aprox. 5,9 x 9,0 x 2,8 cm.",IMAGEM E SOM,AUDIO PORTATIL,RADIOS PORTATEIS,sim
GRR2090,Rádio Portátil Grundig Mini Boy 62 / como/silver,GRR2090,"28,00","0,169",GRUNDIG,235,"Mini Rádio Portátil. Sintonizador PLL, FM. Altifalante integrado.  Ligação auriculares. Antena telescópica.  10 memorias rádio. Ultra Bass System. Peso aprox. 90 gr. Baterias 1 x AAA.. Medidas: 6,1x10,5x2,8 cm.",IMAGEM E SOM,AUDIO PORTATIL,RADIOS PORTATEIS,sim
GRN1550,Rádio Portátil Grundig Music 60 Brown,GRN1550,"45,00",1,GRUNDIG,235,"Rádio mesa. Sintonizador analógico. FM mono/AM/OL. Altifalante integrado . Entrada para Headphone.  Antena telescópica. Funcionamento a 230V e a pilhas  4 x LR14. Medidas: 24,7x12,7x6,2 cm. Cor: Castanho",IMAGEM E SOM,AUDIO PORTATIL,RADIOS PORTATEIS,sim
GRN1500,Rádio Portátil Grundig Music 60 Grey,GRN1500,"45,00",1,GRUNDIG,235,"Rádio mesa. Sintonizador analógico. FM mono/AM/OL. Altifalante integrado . Entrada para Headphone.  Antena telescópica. Funcionamento a 230V e a pilhas  4 x LR14. Medidas: 24,7x12,7x6,2 cm. Cor: Cinzento",IMAGEM E SOM,AUDIO PORTATIL,RADIOS PORTATEIS,sim
