Codigo,Nome,CodCurto,PVPBase,PesoBrt,Marca,Familia,NomeXtra,Gama,Familia,SubFamilia,status
350033047620,Maq.Louça Integ. Beko DIN 26410,47620,395,43,BEKO,115,12 Talheres | 6 Programas | Classe A+AA | Total Integrável,GRANDES DOMÉSTICOS,ENCASTRE - MAQ.LOUÇA,MAQ.LAVAR LOUÇA 60 Cm,sim
350033047621,Maq.Louça Integ. Beko DIN 26421,47621,426,41,BEKO,115,12 Talheres | 6 Programas | Led Spot | Classe A++AA | Total Integrável,GRANDES DOMÉSTICOS,ENCASTRE - MAQ.LOUÇA,MAQ.LAVAR LOUÇA 60 Cm,sim
350033047628,Maq.Louça Integ. Beko DIN 28423,47628,485,49,BEKO,115,12 Talheres | 8 Programas | Classe A++AA | Total Integrável,GRANDES DOMÉSTICOS,ENCASTRE - MAQ.LOUÇA,MAQ.LAVAR LOUÇA 60 Cm,sim
350033047641,Maq.Louça Integ. Beko DIN 48430 AD,47641,600,43,BEKO,115,14 Talheres | 8 Programas | Aqua intensive | Classe A++AA | Total Integrável,GRANDES DOMÉSTICOS,ENCASTRE - MAQ.LOUÇA,MAQ.LAVAR LOUÇA 60 Cm,sim
350033047622,Maq.Louça Integ. Beko DIS 15013,47622,370,43,BEKO,115,10 Talheres | 5 Programas | Classe A+AA | Total Integrável,GRANDES DOMÉSTICOS,ENCASTRE - MAQ.LOUÇA,MAQ.LAVAR LOUÇA 45 Cm,não
350033047639,Maq.Louça Integ. Beko DIS 25011,47639,375,"33,3",BEKO,115,10 Talheres | 5 Programas | Classe A+AA | Total Integrável,GRANDES DOMÉSTICOS,ENCASTRE - MAQ.LOUÇA,MAQ.LAVAR LOUÇA 45 Cm,sim
350033047525,Maq.Louça Integ. Beko DSN 6830,47525,445,44,BEKO,115,12 Talheres | Mini LCD | 8 Programas | Classe A | Painel Branco,GRANDES DOMÉSTICOS,ENCASTRE - MAQ.LOUÇA,MAQ.LAVAR LOUÇA 60 Cm,sim
350032047167,Maquina Lavar Beko WCC 8502 BWO,47167,315,64,BEKO,135,1000 RPM Variável - 8 Kg - Display Digital - Classe A+++ -,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,não
350032047124,Maquina Lavar Beko WCV 7612 BWO,47124,299,65,BEKO,135,1200 RPM Variável - 7 Kg - Óculo Grande XL - Electrónica - Volumax - Display Digital - Classe A+++AC,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047125,Maquina Lavar Beko WCV 8512 BWO,47125,315,65,BEKO,135,1000 RPM Variável - 8 Kg - Óculo Grande XL - Electrónica - Volumax - Display Digital - Classe A+++AC,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047098,Maquina Lavar Beko WMB 61021 M,47098,269,64,BEKO,135,1000 RPM Variável | 6 Kg | Óculo Grande XL | LED Display | Classe A+AC,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,não
350032047179,Maquina Lavar Beko WMP 11744 XW,47179,555,85,BEKO,135,1400 RPM Variável - 11 Kg - Óculo Grande XL - LCD Display (grande) - Eletrónica - Classe A+++-10AB,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
