PRODUTO;REFERENCIA;P_LIQ;QTD_STOCK;GAMA;FAMILIA;SUB-FAMILIA;MARCA;EAN;DETALHES;IMAGEM_IMPORTADA;ETIQUETA_ENERGETICA;MANUAL_INSTRUCOES;ESQUEMA_TECNICO
FERRO CALDEIRA ROWENTA DG-7623-FO   CX.1;631624;123.79;3;PEQUENOS DOMESTICOS;ROUPA;FERROS COM CALDEIRA;ROWENTA;3121040072639;"Potência: 2.200 W
<br>Débito de vapor: 100 gr/min
<br>Super vapor: 325 gr/min
<br>Vapor de alta pressão 
<br>Pressão do vapor: 6.3 bares
<br>Vapor vertical 
<br>Definição do vapor e da temperatura: Ajuste manual
<br>Tempo de aquecimento: 2 min
<br>Base Microsteam 400HD Laser
<br>Base deslizante ****
<br>Durabilidade da base /resistência a riscos *****
<br>Ponta de precisão 
<br>Difusão contínua do vapor Ponta, lado e centro
<br>Autonomia ilimitada 
<br>Estabilidade na vertical
<br>Capacidade do depósito de água: 1,1 L
<br>Depósito de água fixo
<br>Indicador luminoso de depósito vazio
<br>Enchimento contínuo 
<br>Auto-off 
<br>Modo Eco 
<br>Comprimento do cabo de alimentação: 1,7 m
<br>Sistema de bloqueio do ferro 
<br>Sistema anticalcário 
<br>Indicador luminoso anticalcário 
<br>Cores: Preto e Azul
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/631624.jpg;;;
COMBINADO ORIMA ORA-288-W;50210;173.8;(5+);FRIO;COMBINADOS;COMBINADOS 180-189CM;ORIMA;5603883210785;"Capacidade bruta total: 288 L
<br>Capacidade net do frigorífico: 202 L
<br>Capacidade net do congelador: 84 L
<br>Luz interior LED
<br>Portas reversíveis
<br>Prateleiras em vidro
<br>Gaveta para frutos e vegetais 
<br>3 gavetas de congelação
<br>Consumo Anual: 264 kwh
<br>Nível Ruído: 40 dB
<br>Dimensões: A1800xL540xP595 mm
<br>Classificação energética: A+
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/050210.png;;;
COMBINADO ORIMA ORA-1860-W;50211;221.38;(5+);FRIO;COMBINADOS;COMBINADOS 180-189CM;ORIMA;5603883210792;"Capacidade bruta total: 348 L
<br>Capacidade net do frigorífico: 235 L
<br>Capacidade net do congelador: 113 L
<br>Tecnologia Low Frost
<br>Luz interior LED
<br>Portas reversíveis
<br>Prateleiras em vidro
<br>Gaveta para frutos e vegetais c/ controlo de humidade
<br>3 gavetas de congelação
<br>Capacidade Congelação: 4,5 Kg/24h
<br>Consumo Anual: 240 kwh
<br>Nível de ruído: 39 dB
<br>Dimensões: A1860xL595xP650 mm
<br>Classificação energética: A++
<br>
<br>Disponível nas cores: branco e inox<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/0502111.png;;;
COMBINADO ORIMA ORA-1860-X;50212;241.51;(5+);FRIO;COMBINADOS;COMBINADOS 180-189CM;ORIMA;5603883210808;"Capacidade bruta total: 348 L
<br>Capacidade net do frigorífico: 235 L
<br>Capacidade net do congelador: 113 L
<br>Tecnologia Low Frost
<br>Luz interior LED
<br>Portas reversíveis
<br>Prateleiras em vidro
<br>Gaveta para frutos e vegetais c/ controlo de humidade
<br>3 gavetas de congelação
<br>Capacidade Congelação: 4.5 Kg/24h
<br>Consumo Anual: 240 kwh
<br>Nível de ruído: 39 dB
<br>Dimensões: A1860xL595xP650 mm
<br>Classificação energética: A++
<br>
<br>Disponível nas cores: branco e inox
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/geral/0502122.png;;;
ESQUENTADOR VULCANO WRD-14-4-KG-31 CX.446;330832;285.06;(5+);AGUAS QUENTES;ESQUENTADORES;ESQUENTADORES INTELIGENTES;VULCANO;4057749647030;"Capacidade 14 L/min.
<br>Acendimento automático por hidrogerador
<br>Display digital LCD, com informação da temperatura de água quente e 10 códigos de anomalia
<br>LED indicador de funcionamento
<br>Modulação automática da chama (gás).
<br>Gás butano/propano
<br>Dimensões (AxLxP): 710x425x235 mm
<br>Evacuação (Ø): 130 mm
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/330832.jpg;;;
ESQUENTADOR VULCANO WRD-14-4-KG-23 CX.445;330833;285.06;(5+);AGUAS QUENTES;ESQUENTADORES;ESQUENTADORES INTELIGENTES;VULCANO;4057749647023;"Capacidade 14 L/min.
<br>Acendimento automático por hidrogerador
<br>Display digital LCD, com informação da temperatura de água quente e 10 códigos de anomalia
<br>LED indicador de funcionamento
<br>Modulação automática da chama (gás)
<br>Gás natural
<br>Dimensões (AxLxP): 710x425x235 mm
<br>Evacuação (Ø): 130 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/330833.jpg;;;
ESQUENTADOR VULCANO WR-14-4-KB-31 CX.552;330837;268.48;(5+);AGUAS QUENTES;ESQUENTADORES;ESQUENTADORES INTELIGENTES;VULCANO;4057749894397;"Capacidade 14 L/min.
<br>Acendimento electrónico por baterias
<br>Modelo sem display digital LCD, com informação da temperatura de água quente e 10 códigos de anomalia
<br>LED indicador de funcionamento
<br>Modulação automática da chama (gás)
<br>Gás butano/propano
<br>Dimensões (AxLxP): 655x425x235 mm
<br>Evacuação (Ø): 130 mm
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/330837.jpg;;;
ESQUENTADOR VULCANO WR-14-4-KB-23 CX.551;330838;268.48;(5+);AGUAS QUENTES;ESQUENTADORES;ESQUENTADORES INTELIGENTES;VULCANO;4057749894380;"Capacidade 14 L/min.
<br>Acendimento electrónico por baterias
<br>Modelo sem display digital LCD, com informação da temperatura de água quente e 10 códigos de anomalia
<br>LED indicador de funcionamento
<br>Modulação automática da chama (gás).
<br>Dimensões (AxLxP): 710x425x235 m
<br>Gás natural
<br>Evacuação (Ø): 130 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/330838.jpg;;;
ESQUENTADOR VULCANO WRD-14-4-KB-31 CX.254;330841;279.03;(5+);AGUAS QUENTES;ESQUENTADORES;ESQUENTADORES INTELIGENTES;VULCANO;4057749830807;"Capacidade 14 L/min.
<br>Acendimento electrónico por baterias
<br>Modelo com display digital LCD, com informação da temperatura de água quente e 10 códigos de anomalia
<br>LED indicador de funcionamento
<br>Modulação automática da chama (gás)
<br>Gás butano/propano
<br>Dimensões (AxLxP): 710x425x235 mm
<br>Evacuação (Ø): 130 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/330841.jpg;;;
ESQUENTADOR VULCANO WRD-14-4-KB-23 CX.253;330842;279.03;4;AGUAS QUENTES;ESQUENTADORES;ESQUENTADORES INTELIGENTES;VULCANO;4057749830791;"Capacidade 14 L/min.
<br>Acendimento electrónico por baterias
<br>Modelo com display digital LCD, com informação da temperatura de água quente e 10 códigos de anomalia
<br>LED indicador de funcionamento
<br>Modulação automática da chama (gás)
<br>Gás natural
<br>Dimensões (AxLxP): 710x425x235 mm
<br>Evacuação (Ø): 130 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/330842.jpg;;;
CHAMINE WHIRLPOOL WHBS-62-FLTK;152248;275.12;0;ENCASTRE;CHAMINES;CHAMINES 60CM;WHIRLPOOL;8003437231070;"Aspiração/Extracção: 735 m3/hora
<br>Nº de Velocidades: 7 
<br>Consumo: 47 kWh/ano
<br>Nº de Motores: 1 
<br>Nº de Lâmpadas: 1 
<br>Filtro: Alumínio 
<br>Nível de Ruído: 62 dB
<br>Touch Control
<br>Tecnologia 6º Sentido
<br>Zen Mode (balanço perfeito entre performance e silêncio)
<br>CookSense (sensor que adapta a potência)
<br>2 filtros anti-gordura
<br>Iluminação LED 
<br>Ef. fluído dinâmica: A 
<br>Ef. iluminação: A 
<br>Ef. filtragem gordura: C 
<br>Cor: Aço inoxidável 
<br>Classe Energética: A 
<br>Dimensões (AxLxP): 620x598x455 mm<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/152248.jpg;;;
ARREFECEDOR GARRAFAS COFRI AR-525;10351;489.97;1;INDUSTRIAL;HOTELARIA;ARREFECEDORES HORIZONTAIS;COFRI;10351;"Capacidade: 525 Litros
<br>3 divisórias
<br>Tampos basculantes
<br>Exterior e cuba interior em chapa galvanizada branca
<br>Com rodas para facíl transporte
<br>Temperatura média de trabalho: + 6ªC
<br>Capacidade de refrigeração: 73 Kg/24h
<br>Dimensões: A825xL1500xP665 mm
<br>
<br>
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/ar525.jpg;;;
CONGELADOR VERTICAL COFRI CVP-320/6 1 PORTA;10450;901.46;0;INDUSTRIAL;HOTELARIA;VITRINES CONGELADORAS;COFRI;10450;"Capacidade bruta total: 375 L
<br>Capacidade net total: 330 L
<br>Porta de Vidro
<br>Prateleiras ajustáveis em altura (frisos laterias)
<br>Termómetro
<br>Com display
<br>2 lâmpadas no interior e 1 no exterior
<br>Evaporação automática de água
<br>Com rodas para fácil transporte
<br>Temperatura média de trabalho: -22 ºC
<br>Capacidade de congelação: 21 Kg/24 h
<br>Dimensões: A1925xL660xP630 mm
<br>
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/congelador vertical cvp-320.jpg;;;
PLACA BOSCH PVS-775-FC-5-E;26924;429.74;0;ENCASTRE;PLACAS INDUÇAO;PLACAS INDUÇAO 70CM;BOSCH | LINHA BRANCA;4242005088768;"PerfectFry - sensor com 4 níveis de temperatura
<br>4 zonas de indução
<br>CombiZone
<br>Controlo DirectSelect
<br>Visor digital 7 segmentos
<br>17 níveis de potência
<br>Programação do tempo de cozedura para todas as zonas c/ função desligar
<br>Função Restart e QuickStart
<br>Indicação do consumo de energia no display (des/activável)
<br>Função PowerBoost em todas as zonas
<br>Zonas de cozedura de indução: 1 x Ø 190 mm, 2.2 kW (potência máx. 3.7 kW); 1 x Ø 210 mm, 2.2 kW (potência máx. 3.7 kW); 1 x Ø 145 mm, 1.4 kW (potência máx. 2.2 kW); 1 x Ø 180 mm, 1.8 kW (potência máx. 3.1 kW)
<br>2 níveis de indicadores de calor residual para cada zonas
<br>Detecção do recipiente
<br>Limitação da potência da placa
<br>Desligar de segurança
<br>Bloqueio de segurança para crianças
<br>Função Limpeza: bloqueio temporal dos comandos
<br>Interruptor principal
<br>Nicho (AxLxP): 51x560x490 mm
<br>Espessura minima da bancada: 30 mm
<br>Dimensôes: (LxP): 710x527 mm
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/026924.jpg;;;
TREM COZINHA 9 PEÇAS SILAMPOS DOMUS;460902;156.44;0;PEQUENOS DOMESTICOS;COZINHA;TREM DE COZINHA;SILAMPOS;5601416564299;"Aço inoxidável (acabamento polido)
<br>Composto por:
<br>1 Caçarola com asas 16: 1,6lts
<br>1 Caçarola com asas 20: 2,8lts
<br>1 Caçarola com asas: 24: 4,4lts
<br>1 Caçarola com cabo 16: 1,6lts
<br>1 Cafeteira com asa 14: 2lts
<br>1 Frigideira cónica anti aderente 24: 1,7lts
<br>1 Panela com asas 16: 2,3lts
<br>1 Panela com asas 20: 4,1lts
<br>1 Panela com asas 24: 6,4lts
<br>1 Tampa 14
<br>3 Tampas 16
<br>2 Tampas 20
<br>2 Tampas 24
<br>Fontes de calor: Gás, Elétrica, Eléctrica radiante, Vitrocerâmica, Indução
<br>Tecnologia ImpactDiscPlus
<br>
<br>Oferta de 1 faqueiro com 24 peças<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460902.jpg;;;
TREM COZINHA 9 PEÇAS SILAMPOS EUROPA;460904;152.13;0;PEQUENOS DOMESTICOS;COZINHA;TREM DE COZINHA;SILAMPOS;5601416564305;"Aço inoxidável (acabamento polido)
<br>Composto por:
<br>1 Caçarola com asas 16: 1,5lts
<br>1 Caçarola com asas 20: 2,6lts
<br>1 Caçarola com asas: 24: 4,2lts
<br>1 Caçarola com cabo 16: 1,5lts
<br>1 Cafeteira com asa 14: 1,9lts
<br>1 Frigideira cónica anti aderente 24: 1,7lts
<br>1 Panela com asas 16: 2,2lts
<br>1 Panela com asas 20: 4lts
<br>1 Panela com asas 24: 6,7lts
<br>1 Tampa 14
<br>3 Tampas 16
<br>2 Tampas 20
<br>2 Tampas 24
<br>Fontes de calor: Gás, Elétrica, Eléctrica radiante, Vitrocerâmica, Indução
<br>Tecnologia ImpactDiscPlus
<br>
<br>Oferta de 1 faqueiro com 24 peças<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460904.jpg;;;
TREM COZINHA 9 PEÇAS SILAMPOS LOW COST A;460905;110.35;(5+);PEQUENOS DOMESTICOS;COZINHA;TREM DE COZINHA;SILAMPOS;5601416569232;"Aço inoxidável (acabamento polido)
<br>Composto por: 
<br>1 Caçarola com asas 16: 1,5lts
<br>1 Caçarola com asas 20: 2,6lts
<br>1 Caçarola com asas: 24: 4,2lts
<br>1 Caçarola com cabo 16: 1,5lts
<br>1 Cafeteira com asa 14: 1,9lts
<br>1 Frigideira cónica antiaderente 24: 1,7lts
<br>1 Panela com asas 16: 2,2lts
<br>1 Panela com asas 20: 4lts
<br>1 Panela com asas 24: 6,7lts
<br>1 Tampa 14
<br>2 Tampas 16
<br>2 Tampas 20
<br>2 Tampas 24
<br>Fontes de calor: Gás, Elétrica, Eléctrica radiante, Vitrocerâmica, Indução
<br>Tecnologia ImpactDiscPlus<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460905.jpg;;;
TREM COZINHA 9 PEÇAS SILAMPOS OCEANUS SATIN GLASS;460908;173.51;0;PEQUENOS DOMESTICOS;COZINHA;TREM DE COZINHA;SILAMPOS;5601416564350;"Aço inoxidável (acabamento satinado)
<br>Composto por:
<br>1 Caçarola com asas 16: 1,6lts
<br>1 Caçarola com asas 20: 2,6lts
<br>1 Caçarola com asas: 24: 4,6lts
<br>1 Caçarola com cabo 16: 1,6lts
<br>1 Cafeteira com asa 14: 2,1lts
<br>1 Frigideira cónica anti aderente 24: 1,7lts
<br>1 Panela com asas 16: 2,4lts
<br>1 Panela com asas 20: 4,4lts
<br>1 Panela com asas 24: 7,1lts
<br>1 Tampa vidro 14
<br>3 Tampas vidro 16
<br>2 Tampas vidro 20
<br>2 Tampas vidro 24
<br>Fontes de calor: Gás, Elétrica, Eléctrica radiante, Vitrocerâmica, Indução
<br>Tecnologia ImpactDiscPlus
<br>
<br>Oferta de 1 faqueiro com 24 peças<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460908.jpg;;;
TREM COZINHA 9 PEÇAS SILAMPOS YUMI;460911;260.61;0;PEQUENOS DOMESTICOS;COZINHA;TREM DE COZINHA;SILAMPOS;5601416564381;"Aço inoxidável (acabamento polido).
<br>Elementos de pega com um único ponto por onde se transmite o calor.
<br>Composição:
<br>1 Caçarola com asas 16: 1,6lts
<br>1 Caçarola com asas 20: 2,6lts
<br>1 Caçarola com asas 24: 4,6lts
<br>1 Caçarola com cabo 16: 1,6lts
<br>1 Cafeteira com asa 14: 2,1lts
<br>1 Frigideira cón. com asas antiaderente 26
<br>1 Panela com asas 16: 2,4lts
<br>1 Panela com asas 20: 4,4lts
<br>1 Panela com asas 24:7,1lts
<br>1 Tampa 14
<br>3 Tampas 16
<br>2 Tampas 20
<br>2 Tampas 24
<br>1 Tampa 26
<br>Fontes de calor: Gás, Elétrica, Eléctrica radiante, Vitrocerâmica, Indução
<br>Tecnologia ImpactDiscPlus
<br>
<br>Oferta de 1 paqueiro com 24 peças<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460911.jpg;;;
PANELA PRESSAO SILAMPOS ALUMINIO C/CESTO 4,5L;460950;29.83;0;PEQUENOS DOMESTICOS;COZINHA;PANELAS DE PRESSAO;SILAMPOS;5601416300101;"Modelo intemporal
<br>Em alumínio de elevada pureza que cumpre todas as normas que garantem a compatibilidade alimentar
<br>Sistema de fecho progressivo
<br>Pressão de funcionamento: 50kPa / 0.5 bar
<br>Pressão máxima admissível: 80kPa / 0.8 bar
<br>Temperatura de ebulição: 111 a 113ºC
<br>Capacidade: 4,5lts
<br>Diâmetro: 22cm
<br>Altura: 12,6cm
<br>Função: Cozer sob pressão
<br>Fontes de calor: Gás, Elétrica, Eléctrica Radiante e Vitrocerâmica<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460950.jpg;;;
PANELA PRESSAO SILAMPOS ALUMINIO C/CESTO 6L;460951;31.05;0;PEQUENOS DOMESTICOS;COZINHA;PANELAS DE PRESSAO;SILAMPOS;5601416300200;"Modelo intemporal
<br>Em alumínio de elevada pureza que cumpre todas as normas que garantem a compatibilidade alimentar
<br>Sistema de fecho progressivo
<br>Pressão de funcionamento: 50kPa / 0.5 bar
<br>Pressão máxima admissível: 80kPa / 0.8 bar
<br>Temperatura de ebulição: 111 a 113ºC
<br>Capacidade: 6lts
<br>Diâmetro: 22cm
<br>Altura: 16,5cm
<br>Função: Cozer sob pressão
<br>Fontes de calor: Gás, Elétrica, Eléctrica Radiante e Vitrocerâmica<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460951.jpg;;;
PANELA PRESSAO SILAMPOS ALUMINIO C/CESTO 8L;460952;33.18;3;PEQUENOS DOMESTICOS;COZINHA;PANELAS DE PRESSAO;SILAMPOS;5601416300309;"Modelo intemporal
<br>Em alumínio de elevada pureza que cumpre todas as normas que garantem a compatibilidade alimentar
<br>Sistema de fecho progressivo
<br>Pressão de funcionamento: 50kPa / 0.5 bar
<br>Pressão máxima admissível: 80kPa / 0.8 bar
<br>Temperatura de ebulição: 111 a 113ºC
<br>Capacidade: 8lts
<br>Diâmetro: 22cm
<br>Altura: 21,8cm
<br>Função: Cozer sob pressão
<br>Fontes de calor: Gás, Elétrica, Eléctrica Radiante e Vitrocerâmica<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460952.jpg;;;
PANELA PRESSAO SILAMPOS ALUMINIO C/CESTO 10L;460954;37.52;0;PEQUENOS DOMESTICOS;COZINHA;PANELAS DE PRESSAO;SILAMPOS;5601416330849;"Modelo intemporal
<br>Em alumínio de elevada pureza que cumpre todas as normas que garantem a compatibilidade alimentar
<br>Sistema de fecho progressivo
<br>Pressão de funcionamento: 50kPa / 0.5 bar
<br>Pressão máxima admissível: 80kPa / 0.8 bar
<br>Temperatura de ebulição: 111 a 113ºC
<br>Capacidade: 10lts
<br>Diâmetro: 24,5cm
<br>Altura: 21,9cm
<br>Função: Cozer sob pressão
<br>Fontes de calor: Gás, Elétrica, Eléctrica Radiante e Vitrocerâmica<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460954.jpg;;;
PANELA PRESSAO SILAMPOS AÇO INOX S/CESTO 4,5L;460958;37.67;(5+);PEQUENOS DOMESTICOS;COZINHA;PANELAS DE PRESSAO;SILAMPOS;5601416481282;"Aço inoxidável (acabamento polido)
<br>Compatível com todas as fontes de calor, incluindo a indução. 
<br>Pode ir à máquina de lavar louça.
<br>Capacidade: 4,5lts
<br>Diâmetro: 22cm
<br>Altura: 12,9cm
<br>Função: Cozer sob pressão
<br>Fontes de calor: Gás, Elétrica, Eléctrica Radiante, Vitrocerâmica e Indução.
<br><br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460958.jpg;;;
PANELA PRESSAO SILAMPOS AÇO INOX S/CESTO 6L;460959;40.27;0;PEQUENOS DOMESTICOS;COZINHA;PANELAS DE PRESSAO;SILAMPOS;5601416481299;"Aço inoxidável (acabamento polido).
<br>Compatível com todas as fontes de calor, incluindo a indução. 
<br>Pode ir à máquina de lavar louça.
<br>Capacidade: 6lts
<br>Diâmetro: 22cm
<br>Altura: 16,9cm
<br>Função: Cozer sob pressão
<br>Fontes de calor: Gás, Elétrica, Eléctrica Radiante, Vitrocerâmica e Indução.<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460959.jpg;;;
PANELA PRESSAO SILAMPOS AÇO INOX S/CESTO 8L;460960;43.26;(5+);PEQUENOS DOMESTICOS;COZINHA;PANELAS DE PRESSAO;SILAMPOS;5601416492516;"Aço inoxidável (acabamento polido).
<br>Compatível com todas as fontes de calor, incluindo a indução. 
<br>Pode ir à máquina de lavar louça.
<br>Capacidade: 8lts
<br>Diâmetro: 24,5cm
<br>Altura: 17,7cm
<br>Função: Cozer sob pressão
<br>Fontes de calor: Gás, Elétrica, Eléctrica Radiante, Vitrocerâmica e Indução.<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460960.jpg;;;
PANELA PRESSAO SILAMPOS AÇO INOX S/CESTO 10L;460961;45.28;3;PEQUENOS DOMESTICOS;COZINHA;PANELAS DE PRESSAO;SILAMPOS;5601416492523;"Aço inoxidável (acabamento polido).
<br>Compatível com todas as fontes de calor, incluindo a indução. 
<br>Pode ir à máquina de lavar louça.
<br>Capacidade: 10lts
<br>Diâmetro: 24,5cm
<br>Altura: 21,9cm
<br>Função: Cozer sob pressão
<br>Fontes de calor: Gás, Elétrica, Eléctrica Radiante, Vitrocerâmica e Indução.<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460961.jpg;;;
PANELA PRESSAO SILAMPOS AÇO INOX S/CESTO 12L;460962;49.03;(5+);PEQUENOS DOMESTICOS;COZINHA;PANELAS DE PRESSAO;SILAMPOS;5601416492530;"Aço inoxidável (acabamento polido).
<br>Compatível com todas as fontes de calor, incluindo a indução. 
<br>Pode ir à máquina de lavar louça.
<br>Capacidade: 12lts
<br>Diâmetro: 24,5cm
<br>Altura: 26,2cm
<br>Função: Cozer sob pressão
<br>Fontes de calor: Gás, Elétrica, Eléctrica Radiante, Vitrocerâmica e Indução.<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460962.jpg;;;
PANELA PRESSAO SILAMPOS LAGOS 3,5L;460968;39.06;0;PEQUENOS DOMESTICOS;COZINHA;PANELAS DE PRESSAO;SILAMPOS;5601416517615;"ço inoxidável (acabamento polido).
<br>Sistema de abertura por alavanca.
<br>Dispositivo de bloqueio que impede a abertura da panela quando está sob pressão.
<br>Compatível com todas as fontes de calor, incluindo a indução. 
<br>Pode ir à máquina de lavar louça.
<br>Capacidade: 3,5lts
<br>Diâmetro: 18cm
<br>Altura: 13cm
<br>Função: Cozer sob pressão
<br>Fontes de calor: Gás, Elétrica, Eléctrica Radiante, Vitrocerâmica e Indução<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460968.jpg;;;
PANELA PRESSAO SILAMPOS LAGOS 5L;460969;40.72;4;PEQUENOS DOMESTICOS;COZINHA;PANELAS DE PRESSAO;SILAMPOS;5601416517592;"Aço inoxidável (acabamento polido).
<br>Sistema de abertura por alavanca.
<br>Dispositivo de bloqueio que impede a abertura da panela quando está sob pressão.
<br>Compatível com todas as fontes de calor, incluindo a indução. 
<br>Pode ir à máquina de lavar louça.
<br>Capacidade: 5lts
<br>Diâmetro: 22cm
<br>Altura: 15,5cm
<br>Função: Cozer sob pressão
<br>Fontes de calor: Gás, Elétrica, Eléctrica Radiante, Vitrocerâmica e Indução<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460969.jpg;;;
PANELA PRESSAO SILAMPOS LAGOS 7L;460970;42.89;(5+);PEQUENOS DOMESTICOS;COZINHA;PANELAS DE PRESSAO;SILAMPOS;5601416517608;"Aço inoxidável (acabamento polido).
<br>Sistema de abertura por alavanca.
<br>Dispositivo de bloqueio que impede a abertura da panela quando está sob pressão.
<br>Compatível com todas as fontes de calor, incluindo a indução. 
<br>Pode ir à máquina de lavar louça.
<br>Capacidade: 7lts
<br>Diâmetro: 22cm
<br>Altura: 19cm
<br>Função: Cozer sob pressão
<br>Fontes de calor: Gás, Elétrica, Eléctrica Radiante, Vitrocerâmica e Indução<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460970.jpg;;;
PANELA PRESSAO SILAMPOS S/CESTO EASY AMARELO 4L;460971;39.98;5;PEQUENOS DOMESTICOS;COZINHA;PANELAS DE PRESSAO;SILAMPOS;5601416542419;"Aço inoxidável (acabamento polido).
<br>Fácil de manusear, utilizar e limpar. 
<br>Junta de vedação em silicone, que permite abertura/fecho da tampa de uma forma rápida e sem esforço.
<br>Duas pressões de funcionamento, cabendo ao utilizador a escolha da mais adequada ao alimento a confecionar.
<br>Compatível com todas as fontes de calor, incluindo a indução. 
<br>Pode ir à máquina de lavar louça.
<br>Capacidade: 4lts
<br>Diâmetro: 22cm
<br>Altura: 10,6cm
<br>Função: Cozer sob pressão
<br>Fontes de calor: Gás, Elétrica, Eléctrica Radiante, Vitrocerâmica e Indução.
<br>Tecnologia Impact DiscPlus<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460971.jpg;;;
PANELA PRESSAO SILAMPOS S/CESTO EASY AMARELO 6L;460972;42.56;0;PEQUENOS DOMESTICOS;COZINHA;PANELAS DE PRESSAO;SILAMPOS;5601416542846;"Aço inoxidável (acabamento polido).
<br>Fácil de manusear, utilizar e limpar. 
<br>Junta de vedação em silicone, que permite abertura/fecho da tampa de uma forma rápida e sem esforço.
<br>Duas pressões de funcionamento, cabendo ao utilizador a escolha da mais adequada ao alimento a confecionar.
<br>Compatível com todas as fontes de calor, incluindo a indução. 
<br>Pode ir à máquina de lavar louça.
<br>Capacidade: 6lts
<br>Diâmetro: 22cm
<br>Altura: 15,8cm
<br>Função: Cozer sob pressão
<br>Fontes de calor: Gás, Elétrica, Eléctrica Radiante, Vitrocerâmica e Indução.
<br>Tecnologia Impact DiscPlus<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460972.jpg;;;
PANELA PRESSAO SILAMPOS S/CESTO EASY AMARELO 7,5L;460973;49.26;0;PEQUENOS DOMESTICOS;COZINHA;PANELAS DE PRESSAO;SILAMPOS;5601416542853;"Aço inoxidável (acabamento polido)
<br>Fácil de manusear, utilizar e limpar. 
<br>Junta de vedação em silicone, que permite abertura/fecho da tampa de uma forma rápida e sem esforço.
<br>Duas pressões de funcionamento, cabendo ao utilizador a escolha da mais adequada ao alimento a confecionar.
<br>Compatível com todas as fontes de calor, incluindo a indução. 
<br>Pode ir à máquina de lavar louça.
<br>Capacidade: 7,5lts
<br>Diâmetro: 22cm
<br>Altura: 20cm
<br>Função: Cozer sob pressão
<br>Fontes de calor: Gás, Elétrica, Eléctrica Radiante, Vitrocerâmica e Indução.
<br>Tecnologia Impact DiscPlus<br>";http://orima.pt/resources/3513bd2eb90350c54cee0bbd4fdae2fe/produtos/460973.jpg;;;
